organisation,dataset_id,dataset_name,date_created,last_updated,description,frequency,coverage_start,coverage_end,resource_id,resource_name,resource_description,resource_format
Housing and Development Board,24a3302f-9be4-41d0-b481-66465e20c61c,"Sample Household Survey: Age of HDB Resident Population, by Ethnic Group and Flat Type",28/06/2016,05/05/2017,"Data is derived from the Sample Household Survey (SHS) which is conducted once every 5 years.HDB resident population refers to Singapore citizens and Singapore permanent residents (SPRs) residing in HDB flats, excluding subtenants.",Other,01/01/2008,31/12/2013,e0596292-394f-4440-aa5f-3ed8b384b276,HDB Resident Population Aged 15 Years and Above by Flat Type,na,CSV
Housing and Development Board,24a3302f-9be4-41d0-b481-66465e20c61c,"Sample Household Survey: Age of HDB Resident Population, by Ethnic Group and Flat Type",28/06/2016,05/05/2017,"Data is derived from the Sample Household Survey (SHS) which is conducted once every 5 years.HDB resident population refers to Singapore citizens and Singapore permanent residents (SPRs) residing in HDB flats, excluding subtenants.",Other,01/01/2008,31/12/2013,8118a43f-1072-4088-b30e-296a47ec8794,Average and Median Age of HDB Population by Ethnic Group,na,CSV
Housing and Development Board,24a3302f-9be4-41d0-b481-66465e20c61c,"Sample Household Survey: Age of HDB Resident Population, by Ethnic Group and Flat Type",28/06/2016,05/05/2017,"Data is derived from the Sample Household Survey (SHS) which is conducted once every 5 years.HDB resident population refers to Singapore citizens and Singapore permanent residents (SPRs) residing in HDB flats, excluding subtenants.",Other,01/01/2008,31/12/2013,0347a93c-3a60-4aff-a22c-2dd9999b297b,Average and Median Age of HDB Resident Population by Flat Type,na,CSV
National Environment Agency,da34f5cf-650b-4b01-a1d1-5d74ccd1aad1,After Death Facilities,20/05/2015,01/04/2017,"Location of After Death Facilities such as government-managed crematoria, cemeteries, columbaria",Adhoc,na,na,b8b812bf-fe47-40a6-8402-ff1dacb3ee9d,After Death Facilities (KML),na,KML
National Environment Agency,da34f5cf-650b-4b01-a1d1-5d74ccd1aad1,After Death Facilities,20/05/2015,01/04/2017,"Location of After Death Facilities such as government-managed crematoria, cemeteries, columbaria",Adhoc,na,na,3b74d278-5ce2-45de-b7aa-e545ab92f78f,After Death Facilities (SHP),na,SHP
Ministry of Trade and Industry - Department of Statistics,20457d44-da64-4b27-8cb6-dfb554026494,"Age-Specific Death Rates, Annual",21/06/2016,17/11/2017,Data prior to 1980 pertain to total population. Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).,Annual,01/01/1960,31/12/2016,66f3eec1-9e1e-4df6-9706-7b7e844e5377,Crude Death Rates by Sex,na,CSV
Ministry of Trade and Industry - Department of Statistics,20457d44-da64-4b27-8cb6-dfb554026494,"Age-Specific Death Rates, Annual",21/06/2016,17/11/2017,Data prior to 1980 pertain to total population. Data from 1980 onwards pertain to resident population (i.e. Singapore citizens and permanent residents).,Annual,01/01/1960,31/12/2016,0024df14-70c1-47f3-90e1-51e1a2628bf0,Age-Specific Death Rates by Sex,Under 1 death rate refers to infant mortality rate (deaths of resident infants under 1 year of age per thousand resident live-births).,CSV
Ministry of Manpower,62c60a18-fbd3-4753-8f80-5bd397d8064a,Age-Sex Specific Resident Labour Force Participation Rate,14/04/2016,05/12/2017,"* Data are for mid-year. * Residents refer to Singapore Citizens and Permanent Residents. * Age-sex specific labour force participation rate is defined as the percentage of persons in the labour force to the population in the specific sex and age group.Source: Comprehensive Labour Force Survey, Manpower Research & Statistics Department, MOM",Annual,30/06/1991,30/06/2017,9d7caac0-9349-4d0a-ae68-91ec83a1357c,Age-Sex Specific Resident Labour Force Participation Rate,"Age-sex specific labour force participation rate is defined as the percentage of persons in the labour force to the population in the specific sex and age group.Source: Comprehensive Labour Force Survey, Manpower Research & Statistics Department, MOM",CSV
Health Promotion Board,97856079-8703-4a46-b4c5-d5f3817a930e,Age-standardised incidence rate of acute myocardial infarction by gender,12/05/2016,20/04/2017,"The table/figure shows the age-standardised incidence rate of acute myocardial infarction in Singapore with a breakdown by gender.The rates are expressed as per 100,000 residential population and standardised to the Segi World Population.The numbers will be updated annually due to ongoing retrospective case collection.",Annual,01/01/2007,31/12/2014,63c2e275-1cde-417c-97fd-2690a92f6624,Age-standardised incidence rate of acute myocardial infarction by gender,The incidence rates were directly age-standardised using the Segi World Population.,CSV
Health Promotion Board,6b25097a-73a7-423c-866d-a92d382a8ae4,Age-standardised incidence rate of stroke by gender,12/05/2016,20/04/2017,"The table/figure shows the age-standardised incidence rate (per 100,000 population) of stroke in Singapore with a breakdown by gender.The rates are expressed as per 100,000 residential population and standardised to the Segi World Population.The numbers will be updated annually due to ongoing retrospective case collection.",Annual,01/01/2005,31/12/2014,7bb2ae15-2d2b-4f50-83d0-88bbbe9d4755,Age-standardised incidence rate of stroke by gender,The incidence rates were directly age-standardised using the Segi World Population.,CSV
Health Promotion Board,f9784005-30b9-4011-a65f-e8f73c3c0436,Age-standardised incidence rate and prevalence rate for definitive dialysis and transplant patients,12/05/2016,20/04/2017,"The set of table/figure shows the age-standardised incidence rate (per 1,000,000 population) and prevalence rate (per 1,000,000 population) of definitive dialysis patients and transplant patients in Singapore. The rates are expressed as per 1,000,000 residential population and standardised to the Segi World Population.The numbers will be updated annually due to ongoing retrospective case collection.",Annual,01/01/1999,31/12/2014,15576fbe-7a5f-4116-a361-a4e8addc5c71,Age-standardised incidence rate and prevalence rate for definitive dialysis and transplant,The incidence rates and prevalence rates were directly age-standardised using the Segi World Population.,CSV
Civil Aviation Authority of Singapore,15994d3d-ba0d-455e-b9c8-58a4fb159c6b,Air Cargo Loaded - Total By Region and Selected Country of Destination,20/05/2015,16/11/2017,"This Dataset measures the amount of Air Cargo Loaded by Region and Selected Country of Destination, measured Monthly. Please note that the information has been obtained from third party sources.",Monthly,01/01/1986,30/09/2017,2a8dd954-d260-4018-9d6b-503bedf1f019,Total Air Cargo Loaded,na,CSV
Civil Aviation Authority of Singapore,15994d3d-ba0d-455e-b9c8-58a4fb159c6b,Air Cargo Loaded - Total By Region and Selected Country of Destination,20/05/2015,16/11/2017,"This Dataset measures the amount of Air Cargo Loaded by Region and Selected Country of Destination, measured Monthly. Please note that the information has been obtained from third party sources.",Monthly,01/01/1986,30/09/2017,fcb6b573-39b8-43ed-a266-2953dd91d945,Total Air Cargo Loaded in Tonnes By Region,na,CSV
Civil Aviation Authority of Singapore,15994d3d-ba0d-455e-b9c8-58a4fb159c6b,Air Cargo Loaded - Total By Region and Selected Country of Destination,20/05/2015,16/11/2017,"This Dataset measures the amount of Air Cargo Loaded by Region and Selected Country of Destination, measured Monthly. Please note that the information has been obtained from third party sources.",Monthly,01/01/1986,30/09/2017,e75c73a5-0d3a-4eb3-a152-ca3fe6202c68,Total Air Cargo Loaded in Tonnes by Country,na,CSV
Ministry of Health,eefc41dc-fbba-4a89-b258-8a433be9e07b,"Age-Standardised Mortality Rate for Ischaemic Heart Disease, Stroke and Cancer",01/07/2016,29/05/2017,"Age-standardised mortality rates for Ischaemic Heart Disease, Stroke and Cancer",Annual,01/01/1990,31/12/2014,a1ab671c-8113-44b6-8042-92fa74024de8,Age-Standardised Mortality Rate for Ischaemic Heart Disease,na,CSV
Ministry of Health,eefc41dc-fbba-4a89-b258-8a433be9e07b,"Age-Standardised Mortality Rate for Ischaemic Heart Disease, Stroke and Cancer",01/07/2016,29/05/2017,"Age-standardised mortality rates for Ischaemic Heart Disease, Stroke and Cancer",Annual,01/01/1990,31/12/2014,a32f10f6-b1f4-450b-a56d-7b94b2658166,Age-Standardised Mortality Rate for Stroke,na,CSV
Ministry of Health,eefc41dc-fbba-4a89-b258-8a433be9e07b,"Age-Standardised Mortality Rate for Ischaemic Heart Disease, Stroke and Cancer",01/07/2016,29/05/2017,"Age-standardised mortality rates for Ischaemic Heart Disease, Stroke and Cancer",Annual,01/01/1990,31/12/2014,d5bf3103-08d3-4672-bc61-fdf7565ce402,Age-Standardised Mortality Rate for Cancer,Age-Standardised Mortality Rate for Cancer,CSV
Civil Aviation Authority of Singapore,4a83d585-2399-4c00-9caa-dff61a115de5,Air Passenger Arrivals - Total by Region and Selected Country of Embarkation.,20/05/2015,20/11/2017,"Air Passenger Arrivals by Region and Selected Country of Embarkation.Note:1. Refers to Changi Airport only.  2. Data exclude transit passengers who continued their journey on the same flight.  3. Figures from January 1989 refer to Changi Airport only.4. Data for GERMANY prior to January 1991 refers to Federal Republic of Germany only.5. Please note that the information has been obtained from third party sources.",Monthly,01/01/1961,30/09/2017,4b634602-570d-47af-bae2-403135179249,Total Air Passenger Arrivals,na,CSV
Civil Aviation Authority of Singapore,4a83d585-2399-4c00-9caa-dff61a115de5,Air Passenger Arrivals - Total by Region and Selected Country of Embarkation.,20/05/2015,20/11/2017,"Air Passenger Arrivals by Region and Selected Country of Embarkation.Note:1. Refers to Changi Airport only.  2. Data exclude transit passengers who continued their journey on the same flight.  3. Figures from January 1989 refer to Changi Airport only.4. Data for GERMANY prior to January 1991 refers to Federal Republic of Germany only.5. Please note that the information has been obtained from third party sources.",Monthly,01/01/1961,30/09/2017,e80cd9b0-580b-48f0-a5b6-aa9b01fab201,Total Air Passenger Arrivals by Region,na,CSV
Civil Aviation Authority of Singapore,4a83d585-2399-4c00-9caa-dff61a115de5,Air Passenger Arrivals - Total by Region and Selected Country of Embarkation.,20/05/2015,20/11/2017,"Air Passenger Arrivals by Region and Selected Country of Embarkation.Note:1. Refers to Changi Airport only.  2. Data exclude transit passengers who continued their journey on the same flight.  3. Figures from January 1989 refer to Changi Airport only.4. Data for GERMANY prior to January 1991 refers to Federal Republic of Germany only.5. Please note that the information has been obtained from third party sources.",Monthly,01/01/1961,30/09/2017,efd7b75b-992e-4221-aff3-c57140af1f67,Total Air Passenger Arrivals by Country,na,CSV
Health Promotion Board,08936cad-72eb-4853-b164-ffa8e65226fa,Age-standardised incidence rate of the top three cancers by gender and 5-year period,13/05/2016,20/04/2017,"The table/figure shows the age-standardised incidence rate (per 100,000 population) of the top three cancers among men and women in Singapore.The rates are expressed as per 100,000 residential population and standardised to the Segi World Population.The numbers will be updated annually due to ongoing retrospective case collection.",Annual,01/01/1975,31/12/2010,9f9d8125-74c4-4183-a286-6f24fbeeabb2,Age-standardised incidence rate of the top three cancers by gender and 5-year period,The incidence rates were directly age-standardised using the Segi World Population.,CSV
Ministry of Transport,597542e5-b8cf-4795-8338-acd4d6bacc2b,Air Accident Investigation Reports by Date,25/04/2016,24/07/2017,Reports available from the Air Accident Investigation Bureau of Singapore,Annual,19/10/2000,27/06/2016,cc262140-316d-4a6d-8730-ec9f88c691da,Air Accident Investigation Reports by Date,na,CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,50d498c3-5317-4fc5-95e2-a74e8908c7e7,ACRA Information on Corporate Entities ('A'),"This file contains information on corporate entities that begin with the letter ""A"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,5904c4b6-1cd2-4710-8be9-dab9258d4a1d,ACRA Information on Corporate Entities ('B'),"This file contains information on corporate entities that begin with the letter ""B"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,9458197b-4b46-480e-a596-34dbff26d8dc,ACRA Information on Corporate Entities ('C'),"This file contains information on corporate entities that begin with the letter ""C"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,61a4bfe4-6cf6-4aa0-8c7c-05e53bddd182,ACRA Information on Corporate Entities ('D'),"This file contains information on corporate entities that begin with the letter ""D"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,b8e67c3e-2876-48d7-930b-6702bbdac16c,ACRA Information on Corporate Entities ('E'),"This file contains information on corporate entities that begin with the letter ""E"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,ada9a1fa-c1d8-41a0-80f6-982334c1cf32,ACRA Information on Corporate Entities ('F'),"This file contains information on corporate entities that begin with the letter ""F"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,c5fdba9e-5e7c-47b3-9f47-bdd5266a3a9b,ACRA Information on Corporate Entities ('G'),"This file contains information on corporate entities that begin with the letter ""G"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,86d54336-c9ef-48a8-9f6b-47053aa5c223,ACRA Information on Corporate Entities ('H'),"This file contains information on corporate entities that begin with the letter ""H"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,250da61b-4509-4b15-a084-49b1935438af,ACRA Information on Corporate Entities ('I'),"This file contains information on corporate entities that begin with the letter ""I"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,2e484f26-d31c-4484-9033-77d307025a3e,ACRA Information on Corporate Entities ('J'),"This file contains information on corporate entities that begin with the letter ""J"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,269d499f-8173-44ae-b956-14d7bd2014d4,ACRA Information on Corporate Entities ('K'),"This file contains information on corporate entities that begin with the letter ""K"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,fef20b0b-a8bf-4ac5-b8f9-280a05d7537a,ACRA Information on Corporate Entities ('L'),"This file contains information on corporate entities that begin with the letter ""L"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,8bb8c3ef-8562-4ab0-8853-200fa82587d7,ACRA Information on Corporate Entities ('M'),"This file contains information on corporate entities that begin with the letter ""M"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,38282e84-8a21-4932-a968-fe04a3bee4d0,ACRA Information on Corporate Entities ('N'),"This file contains information on corporate entities that begin with the letter ""N"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,24986e7f-17bf-4058-a247-5b916e213ff5,ACRA Information on Corporate Entities ('O'),"This file contains information on corporate entities that begin with the letter ""O"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,67e879b2-84e4-4353-9904-3fa3c004deba,ACRA Information on Corporate Entities ('P'),"This file contains information on corporate entities that begin with the letter ""P"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,67727849-f41c-4eff-b5c0-d58c0f6b468e,ACRA Information on Corporate Entities ('Q'),"This file contains information on corporate entities that begin with the letter ""Q"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,c666507e-44e2-49fa-a86c-2719c14bbbdc,ACRA Information on Corporate Entities ('R'),"This file contains information on corporate entities that begin with the letter ""R"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,855613c8-c1cf-4b54-9ec4-2ae15b798a44,ACRA Information on Corporate Entities ('S'),"This file contains information on corporate entities that begin with the letter ""S"".",CSV
Accounting and Corporate Regulatory Authority,21d477f2-6e1b-4232-82b3-59e804dc2f6a,ACRA Information on Corporate Entities,12/06/2017,02/11/2017,"This is a more detailed version of the UEN dataset here (https://data.gov.sg/dataset/entities-with-unique-entity-number). It is updated monthly, and there is additional information such as paid up capital and auditor",Adhoc,31/10/2017,31/10/2017,b533039b-5002-4f45-bd11-632c47f7cdfa,ACRA Information on Corporate Entities ('U'),"This file contains information on corporate entities that begin with the letter ""U"".",CSV
